Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33251396.65,34636871.51,37944134.08,46530726.26,62011173.18,76829608.94,81112849.16,86827932.96,97657541.9,126767039.1,146021229.1,162157541.9,178492178.8,189653631.3,107412290.5,70184357.54,110950838,52085474.86,89000000,95987150.84,106228491.6,110067039.1,115463687.2,100218435.8,,,
Africa Eastern and Southern,AFE,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,3935337442,4250729868,4634268914,5047498475,5747602523,6417518781,6924040171,7239735733,9792177268,12080133939,13525765057,13261615464,13691529107,15369472793,19400872951,26850248003,30222739003,27551439849,29832461297,26442174006,19933694010,22966241684,30098717259,33373866333,36081686227,42346817427,43902885442,42320532804,39882043686,40456017879,45607829983,43581619168,45085393510,41184206226,38888827694,41592887213,38052140608,37747783718,51309301099,63402743700,69665908740,70638610064,78789254183,79567017234,83079391720,95514670637,1.01E+11,99900422647,97629689860,98019614751,92272090526,88291474906,1.01E+11,1.10E+11,1.08E+11,96469746317,1.11E+11
Afghanistan,AFG,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725473152.4,768259057.3,916463716.3,1033437765,1142297905,1724286293,1828467911,1598345898,1957761730,2506491131,2522635320,2364888525,2358711128,2283790641,741360052.4,667121056.2,1134633696,1331477482,1546262360,1339800235
Africa Western and Central,AFW,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,45669009449,40080985787,28991551787,19553102066,23320649078,19323778796,17503250603,18262824968,15183458903,18192526704,17891222597,16892627344,13873776963,13453306142,16720359313,17950254612,18875051635,18077508766,18714201558,17673119182,18407128099,20401320100,23730358433,27356443897,32349579082,38002703905,43964430120,53112494564,46643457294,48163480520,59013933762,63730899096,82614066255,92421820358,77278294209,66364519502,67397403879,80191319763,89851844714,93693461398,1.10E+11
Angola,AGO,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201958350.5,259342533.5,334875882.4,407249039,198301063.2,263860200.8,346102756.8,559731834.5,712475155.6,1102692323,1446628996,1892429280,2218727582,3064973678,3592289538,3710607899,4561102414,5504033126,6439751496,6537050864,4958543523,3365569250,4538787340,4713839536,4253808796,3704705929,3484026883
Albania,ALB,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155437042.9,103517382.4,120269912.7,145590152.1,150276373.5,160768481.1,176816057.5,231427088.2,300144345.1,356372214.8,436345733.2,565555542,643783986.1,626007469.1,650270789.8,729861897.1,568493365.9,646451378.5,704503223.4,645807416.1,674241295.3,801771620.5,929583699.1,963568581.2,913668707.8,1137448997
Andorra,AND,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54744794.55,53395973.15,60370788.63,85395033.86,105810777.3,109861957.5,118730397.7,134341637,146140325.2,132731314.3,127641521.9,132850779.5,118745984.8,122579359.8,120300252.4,103395096,108368386.1,112471757.8,116190363.7,115907310,107938321,
Arab World,ARB,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,12558418536,14702886389,17011383291,19030630769,25067099175,31200378230,36933545225,37214277530,39312661126,43653231857,44142700435,44711126743,50867816816,55022050805,58081679091,62592113909,52605408504,53267312845,53866731103,57189336321,64659233183,71854067816,78104183288,78730591985,84803825968,98365266477,1.00E+11,1.03E+11,1.17E+11,1.36E+11,1.62E+11,1.84E+11,2.07E+11,2.54E+11,2.19E+11,2.57E+11,2.96E+11,3.21E+11,3.20E+11,3.29E+11,2.95E+11,2.90E+11,2.92E+11,3.19E+11,3.15E+11,2.89E+11,3.53E+11
United Arab Emirates,ARE,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,,,,,,,,,,,134046903.8,215780020.7,682499423.6,816026038.4,954739628.4,1625397853,3163443203,3695723236,3753745573,3823208935,3624897848,2809043857,3192590575,3207028058,3386270771,3799509670,3826750204,4113320621,4363116317,3906837374,4452465268,4883138110,6224734405,6531518039,7226412526,9465486726,13754663036,14345813479,15247923758,17018107556,19159972771,21449693669,23278420694,27131654187,23314635807,23036890973,27012249231,31095868546,31720297182,33605870208,33976082195,34442146215,36635868564,38117534634,37064624582,35966994024,43030584890
Argentina,ARG,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,,,,,,11673529108,11740952533,9174848544,9569142703,11453999979,9963158196,11906599839,12628249874,18040443689,24655222754,20039486086,20015850633,20778999454,19822294945,22635232911,22685371287,22631579614,26439043921,31889838393,23497000594,26208333995,30417777317,30550476433,35337499724,23718638577,37867881956,46265967383,50011204825,43181479379,45873469700,44502096300,47723427100,53382062500,53326264700,48089824700,46877339400,43241974900,19884659445,28690164511,31181294719,36449209846,41576107686,49016520323,59795791836,51890313731,67123175368,84034582760,83081051123,82864793306,77752039861,84344878154,75199976820,82610822686,73790408468,60629731064,55391122542,75418727791
