Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,234.88,219.43,215.13,208.22,215.74,413.60,461.02,642.53,560.73,607.41,600.77,683.33,607.33,701.20,704.83,661.92,620.08,610.18,622.03,615.54,601.65,642.72,657.99,1101.03,1183.86,1440.24,1395.43,1588.84,1910.99,2021.12,2133.03,2475.10,2709.03,2768.31,2708.65,3080.94,3225.39,3306.19,3879.06,4519.64,4908.80,5195.00,7434.91,7823.70,8450.87,9732.62,10182.15,10212.54,9671.78,9275.71,10006.91,9773.55,9112.46,8776.36
Afghanistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,65.06,n/a,n/a,75.44,73.33,76.97,98.17,103.57,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,190.25,171.32,173.20,266.61,232.35,261.48,279.61,275.02,206.10,190.01,231.76,185.34,183.61,180.53,197.17,236.30,273.39,278.25,n/a
Albania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,304.78,313.22,221.44,169.31,154.98,148.14,138.05,123.97,86.55,81.84,94.78,104.83,119.12,118.96,133.63,146.06,151.30,185.84,229.99,270.89,214.41,230.35,229.09,223.88,210.80,204.91,178.42,171.72,178.21,192.90,217.01,210.37,222.81,296.63
Angola,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,195.01,250.27,217.88,130.37,114.04,1826.07,47125.16,n/a,641.14,1027.58,316.95,4050.58,1876.32,1130.62,1158.95,1530.48,1456.77,2063.98,2424.44,2126.41,2878.57,2800.77,2996.98,2806.17,2945.11,4022.52,4292.52,2526.78,2018.70,1746.58,1440.00,1315.80,1151.80,981.45,980.48
Argentina,3943.36,3125.82,2118.82,2157.86,2813.68,2680.90,2707.05,2533.92,4497.20,2421.72,1362.98,2041.31,2485.42,2407.53,2454.50,2062.45,1989.21,2057.58,2290.65,2768.96,3381.09,3245.51,3349.59,3445.42,3609.52,3673.30,4663.10,8425.66,8924.24,9535.88,9908.07,8818.12,9386.12,8088.97,9248.79,7256.69,6704.77,6678.22,6661.16,6658.48,5412.42,3675.62,3688.18,3492.36,3295.40,3526.13,3456.43,3066.99,3015.69,3040.11,3133.03,2984.40,2939.89,2505.32,2580.50,2655.42,2789.27,2876.05,3111.12,3091.35,3331.67,3296.74,3249.47,3209.37,3595.97,3720.18,3684.21,3584.31,3945.41,3510.62,3194.01,3120.18,3073.43,2101.14
Armenia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,146.02,53.86,n/a,133.09,114.79,145.96,143.97,154.94,157.06,152.50,150.83,173.70,191.66,234.49,277.00,324.70,376.85,392.82,410.40,376.07,385.07,433.51,440.17,476.49,468.49,479.54,541.29,674.31,655.06,619.44,634.34
Australia,n/a,3128.14,4493.09,5738.41,5775.95,5180.43,5260.95,5098.61,4894.11,4849.14,4876.74,4797.89,4794.33,4996.37,5618.26,6505.29,7513.12,9143.37,10756.15,11560.77,11175.73,10448.70,10153.63,10158.18,9730.71,9596.26,9751.76,9901.11,9953.21,10062.90,10399.71,10936.18,11676.84,12276.20,12699.31,13691.37,14355.91,14438.36,13947.84,13452.92,13339.59,13405.33,13633.99,14031.69,14563.48,14726.36,14264.65,14089.95,14342.66,15044.79,15780.80,15737.73,16360.78,17064.26,17382.03,18098.68,18730.75,19731.63,20943.92,21707.60,23342.87,23614.40,23287.25,22471.18,22276.00,24176.71,26650.22,29183.17,29130.98,28435.45,29206.33,30633.83,32718.07,32824.19
Austria,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1339.58,1524.50,1508.29,1414.11,1357.84,1429.41,1752.52,2204.77,1824.16,2095.48,2123.45,2128.01,2190.44,2167.67,2086.75,2163.29,2247.19,2516.55,2797.63,2855.47,2946.54,3192.99,3391.40,3389.77,3285.00,3426.50,3479.81,3511.96,3842.07,3966.83,3814.08,3605.83,3568.27,3608.28,3624.67,3519.27,3553.12,3568.74,3537.39,3504.27,3512.14,3521.73,3593.72,3680.44,3429.31,3369.09,3508.65,3514.84,3439.34,3303.51,3928.59,3807.22,3555.09,3534.67,3454.31,3408.73,3276.41,3303.13,3158.39,3399.06,3569.01,3590.78,3671.92,4094.26,4196.43,3783.87
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,315.67,332.04,167.76,138.72,122.14,140.38,159.98,208.82,221.47,250.50,269.73,336.39,407.77,477.20,980.33,1531.57,2061.01,1820.58,1723.86,3279.99,3402.84,3442.04,3454.65,3671.38,1702.84,1787.39,1880.44,2032.12,2386.58,2703.18,2664.84
Bahrain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,79.58,75.73,80.69,100.68,54.17,70.76,92.46,224.60,293.00,310.30,380.02,453.71,259.85,232.74,242.89,264.39,269.08,312.31,323.52,351.82,384.06,408.04,397.94,402.23,417.26,444.90,434.34,446.74,500.02,496.21,520.88,624.43,714.01,719.17,676.50,741.88,804.01,870.16,973.77,971.90,1196.61,1332.00,1469.87,1567.62,1504.62,1528.09,1534.39,1498.12,1512.38,1396.27,1381.38,1334.59
Bangladesh,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,216.09,244.46,251.03,444.29,535.73,477.89,453.79,477.34,504.86,583.41,744.07,731.63,673.27,734.12,788.09,866.25,947.79,942.11,959.61,1104.31,1199.25,1344.93,1383.53,1444.93,1537.88,1559.82,1616.92,1688.20,1686.87,1636.54,1641.61,1672.73,1695.69,1825.16,1920.76,1897.71,2214.03,2666.07,2825.56,2972.44,2962.13,3166.09,3576.66,3930.92,3830.07,4217.00,4814.93,4896.08,4965.78,4970.80
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,241.71,343.45,344.92,136.10,104.47,170.98,160.01,160.13,177.33,220.94,229.68,232.15,280.98,365.66,474.94,518.20,531.05,470.18,528.98,568.00,638.29,683.09,693.73,675.68,636.02,610.91,694.96,736.31,744.24,762.78,792.23
Belgium,2260.29,2280.04,3374.20,4986.40,4964.22,5121.21,4241.70,4124.28,4300.41,4235.66,4269.79,4364.85,4412.57,4696.27,4840.96,5195.21,5029.31,5431.91,5695.46,5896.41,5935.85,6327.22,6593.85,6950.00,7267.30,7369.16,8024.09,8444.17,8661.83,9240.19,9443.48,9626.50,9711.77,9389.87,9017.76,8634.51,8533.85,8885.99,8942.38,8568.01,8435.23,8275.66,8158.64,6699.13,6361.57,6326.77,6197.57,6079.68,6003.23,6001.56,6079.76,6079.34,5812.07,5635.75,5696.91,5578.26,5375.13,5333.35,5754.94,6274.05,5909.33,5659.81,5461.20,5400.34,5262.56,5177.25,4985.20,4964.83,4967.98,5076.50,5190.10,5651.42,6239.36,7045.00
Belize,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.71,5.47,5.86,6.37,6.01,n/a,n/a,n/a,7.40,7.86,7.74,8.46,9.65,12.13,12.02,11.17,13.04,n/a,n/a,10.02,10.38,10.67,11.35,12.22,13.31,14.64,16.03,20.50,19.12,16.83,16.63,16.23,18.86,20.88,20.85,22.80,23.94,24.17,25.25,26.87,25.15,22.21
Benin,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.57,17.56,19.17,20.81,19.68,18.73,16.36,21.67,15.48,27.43,32.97,30.61,34.27,45.40,56.44,53.51,54.49,64.94,64.54,53.50,51.95,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,32.21,29.05,26.02,47.86,52.24,56.94,57.73,57.71,n/a,62.53,n/a,n/a,n/a,76.21,80.73,87.84,102.49,90.68,128.21,94.06,75.41,75.80,97.42,104.07
Bolivia,n/a,n/a,n/a,n/a,74.15,n/a,50.61,37.45,42.99,n/a,n/a,n/a,69.90,69.50,86.28,n/a,n/a,n/a,n/a,109.77,113.62,149.73,136.48,187.12,218.62,252.68,343.11,376.06,381.60,461.06,481.40,521.77,592.83,359.18,251.41,396.23,425.51,349.55,363.02,321.76,350.16,474.99,462.59,442.79,346.63,426.35,420.38,426.49,508.39,611.80,467.14,468.34,527.67,465.50,534.28,510.23,485.24,470.08,509.71,726.33,630.23,646.67,706.30,785.66,829.16,849.11,753.40,653.01,690.26,703.17,673.65,547.92,569.90,619.62
Bosnia and Herzegovina,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,470.29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,394.11,274.31,245.95,205.33,197.41,194.93,202.79,223.09,208.08,184.23,181.92,176.45,171.66,176.80,175.39,168.91,175.14,176.46,177.35,209.72,187.70
